Company ID,Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
224,HCP,HCP Inc.,reports,Real Estate,REITs,"Long Beach, California",3/31/08,765880
225,HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",,46765
226,HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",3/17/15,1000228
227,HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",5/31/84,4447
228,HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",11/2/15,1645590
229,HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,859737
230,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/88,354950
231,HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",3/31/64,773840
232,HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/09,48465
233,HST,Host Hotels & Resorts,reports,Real Estate,REITs,"Bethesda, Maryland",3/20/07,1070750
234,HPQ,HP Inc.,reports,Information Technology,Computer Hardware,"Palo Alto, California",12/31/74,47217
235,HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071
236,HBAN,Huntington Bancshares,reports,Financials,Banks,"Columbus, Ohio",,49196
237,IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/17,874716
238,ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/86,49826
239,ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/15,1110803
240,IR,Ingersoll-Rand PLC,reports,Industrials,Industrial Conglomerates,"Dublin, Ireland",11/17/10,1466258
241,INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",12/31/76,50863
242,ICE,Intercontinental Exchange,reports,Financials,Diversified Financial Services,"Atlanta, Georgia",9/26/07,1571949
243,IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143
244,IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434
245,IPG,Interpublic Group,reports,Consumer Discretionary,Advertising,"New York, New York",10/1/92,51644
246,IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",3/31/76,51253
247,INTU,Intuit Inc.,reports,Information Technology,Internet Software & Services,"Mountain View, California",12/5/00,896878
248,ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267
249,IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/08,914208
250,IRM,Iron Mountain Incorporated,reports,Real Estate,REITs,"Boston, Massachusetts",1/6/09,1020569
251,JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",7/1/15,728535
252,JEC,Jacobs Engineering Group,reports,Industrials,Industrial Conglomerates,"Pasadena, California",10/26/07,52988
253,SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/08,91419
254,JNJ,Johnson & Johnson,reports,Health Care,Health Care Equipment,"New Brunswick, New Jersey",6/30/73,200406
255,JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",8/27/10,833444
256,JPM,JPMorgan Chase & Co.,reports,Financials,Banks,"New York, New York",6/30/75,19617
257,JNPR,Juniper Networks,reports,Information Technology,Networking Equipment,"Sunnyvale, California",,1043604
258,KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",5/24/13,54480
259,K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
260,KEY,KeyCorp,reports,Financials,Banks,"Cleveland, Ohio",3/1/94,91576
261,KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",,55785
262,KIM,Kimco Realty,reports,Real Estate,REITs,"New Hyde Park, New York",,879101
263,KMI,Kinder Morgan,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",5/25/12,1506307
264,KLAC,KLA-Tencor Corp.,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
265,KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
266,KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",7/6/15,1545158
267,KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
268,LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/83,701985
269,LLL,L-3 Communications Holdings,reports,Industrials,Industrial Conglomerates,"New York, New York",,1056239
270,LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Facilities,"Burlington, North Carolina",,920148
271,LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",6/29/12,707549
272,LEG,Leggett & Platt,reports,Industrials,Industrial Conglomerates,"Carthage, Missouri",,58492
273,LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",,920760
274,LUK,Leucadia National Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",8/27/07,96223
275,LVLT,Level 3 Communications,reports,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",11/5/14,794323
276,LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/70,59478
277,LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/76,59558
278,LLTC,Linear Technology Corp.,reports,Information Technology,Semiconductors,"Milpitas, California",,791907
279,LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/16,1065696
280,LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468
281,L,Loews Corp.,reports,Financials,Multi-Sector Holdings,"New York, New York",,60086
282,LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667
283,LYB,LyondellBasell,reports,Materials,Diversified Chemicals,"Rotterdam, Netherlands",9/5/12,1489393
284,MTB,M&T Bank Corp.,reports,Financials,Banks,"Buffalo, New York",,36270
285,MAC,Macerich,reports,Real Estate,Retail REITs,"Santa Monica, California",5/9/13,912242
286,M,Macy's Inc.,reports,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
287,MNK,Mallinckrodt Plc,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",8/19/14,1567892
288,MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/91,101778
289,MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",7/1/11,1510295
290,MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
291,MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",8/31/87,62709
292,MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",7/2/14,916076
293,MAS,Masco Corp.,reports,Industrials,Building Products,"Taylor, Michigan",6/30/81,62996
294,MA,Mastercard Inc.,reports,Information Technology,Internet Software & Services,"Harrison, New York",7/18/08,1141391
295,MAT,Mattel Inc.,reports,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/82,63276
296,MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
297,MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",6/30/70,63908
298,MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"San Francisco, California",,927653
299,MJN,Mead Johnson,reports,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",12/21/09,1452575
300,MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",10/31/86,64670
301,MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
302,MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219
303,MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/16,1037646
